PSA_ID,Domain,English,Kiswahili,Dholuo
PSA000003,Health,"PRESS RELEASE: JUNE 29, 2020 The EU through its Civil Protection and Humanitarian Aid Operations department (ECHO) has donated KES 270 million (2,573,105 Million Euros) to WHO Kenya.","TAARIFA KWA VYOMBO VYA HABARI: JUNI 29, 2020 EU kupitia idara yake ya Ulinzi wa Raia na Uendeshaji wa Misaada ya Kibinadamu (ECHO) imetoa KES milioni 270 (Euro milioni 2,573,105) kwa WHO Kenya.",
PSA000004,Health,This grant will be used by the WHO to support the Government of Kenya’s efforts to control the spread of the pandemic.,Ruzuku hii itatumiwa na WHO kuunga mkono juhudi za Serikali ya Kenya za kudhibiti kuenea kwa janga hili.,
PSA000005,Health,"Specifically, WHO Kenya will boost the response effort by training frontline health workers at national and county levels and strengthen the current work being done by the COVID-19 rapid response and clinical teams across all counties.","Hasa, WHO Kenya itaongeza juhudi za kukabiliana na janga hili kwa kuwafunza wafanyakazi wa afya walio mstari wa mbele katika ngazi za kitaifa na kaunti na kuimarisha kazi inayofanywa sasa na timu za mwitikio wa haraka wa COVID-19 na kliniki katika kaunti zote.",
PSA000009,Health,"Strengthening clinical care for high-consequence infectious diseases in East Africa Nairobi - Following successive Ebola and Marburg outbreaks across East Africa, countries are shifting how preparedness is defined, placing greater emphasis on the quality of clinical care delivered to patients.","Kuimarisha huduma ya kimatibabu kwa magonjwa ya kuambukiza yenye matokeo makubwa Afrika Mashariki Nairobi - Kufuatia milipuko mfululizo ya Ebola na Marburg kote Afrika Mashariki, nchi zinabadilisha jinsi maandalizi yanavyofafanuliwa, zikiweka msisitizo mkubwa juu ya ubora wa huduma ya kimatibabu inayotolewa kwa wagonjwa.",
PSA000010,Health,"In recent years, investments in surveillance, laboratory systems and rapid response have strengthened the region’s ability to detect outbreaks earlier and respond faster.","Katika miaka ya hivi karibuni, uwekezaji katika ufuatiliaji, mifumo ya maabara na mwitikio wa haraka umeimarisha uwezo wa eneo hilo kugundua milipuko mapema na kujibu haraka zaidi.",
PSA000011,Health,"Across Tanzania, Uganda and Ethiopia, early warning systems are functioning more effectively, and laboratory confirmation is increasingly timely.","Kote Tanzania, Uganda na Ethiopia, mifumo ya tahadhari za mapema inafanya kazi kwa ufanisi zaidi, na uthibitisho wa maabara unazidi kuwa wa wakati unaofaa.",
PSA000012,Health,"Yet patient outcomes continue to vary, pointing to a different challenge.","Hata hivyo matokeo ya mgonjwa yanaendelea kutofautiana, yakiashiria changamoto tofauti.",
PSA000013,Health,Clinical management has emerged as the determining factor.,Usimamizi wa kimatibabu umeibuka kama kigezo cha kuamua.,
PSA000014,Health,Caring for patients with high-consequence infectious diseases requires highly skilled teams operating in full personal protective equipment under strict infection prevention protocols.,Kuwatunza wagonjwa wenye magonjwa ya kuambukiza yenye matokeo makubwa kunahitaji timu zenye ujuzi wa hali ya juu zinazofanya kazi katika vifaa kamili vya kinga binafsi chini ya itifaki kali za kuzuia maambukizi.,
PSA000015,Health,"These conditions are physically demanding and technically complex, requiring sustained precision in environments where even routine care becomes high risk.","Hali hizi zinahitajika kimwili na kitaalamu ni ngumu, zinahitaji usahihi endelevu katika mazingira ambapo hata utunzaji wa kawaida unakuwa hatari kubwa.",
PSA000016,Health,"Where bedside capacity is limited, mortality increases, regardless of how quickly cases are identified.","Pale ambapo uwezo wa kando ya kitanda ni mdogo, vifo huongezeka, bila kujali jinsi visa vinavyogunduliwa haraka.",
PSA000017,Health,"To address this gap, countries are strengthening the systems that underpin clinical care, from building multidisciplinary teams and improving intensive and supportive care practices, to reinforcing infection prevention and WASH standards and ensuring facilities are equipped to operate safely during outbreaks.","Ili kushughulikia pengo hili, nchi zinaimarisha mifumo inayounga mkono huduma ya kliniki, kuanzia kujenga timu za taaluma mbalimbali na kuboresha mbinu za utunzaji makini na unaounga mkono, hadi kuimarisha viwango vya kuzuia maambukizi na WASH na kuhakikisha vifaa vina vifaa vya kufanya kazi kwa usalama wakati wa milipuko.",
