PSA_ID,Domain,English,Kiswahili,Dholuo,Final_Status
PSA000001,Health,"PRESS RELEASE: JUNE 29, 2020 The EU through its Civil Protection and Humanitarian Aid Operations department (ECHO) has donated KES 270 million (2,573,105 Million Euros) to WHO Kenya.","TAARIFA KWA VYOMBO VYA HABARI: JUNI 29, 2020 EU kupitia idara yake ya Ulinzi wa Raia na Uendeshaji wa Misaada ya Kibinadamu (ECHO) imetoa KES milioni 270 (Euro milioni 2,573,105) kwa WHO Kenya.",,Keep
PSA000002,Health,This grant will be used by the WHO to support the Government of Kenya's efforts to control the spread of the pandemic.,Ruzuku hii itatumiwa na WHO kuunga mkono juhudi za Serikali ya Kenya za kudhibiti kuenea kwa janga hili.,,Keep
PSA000003,Health,"Specifically, WHO Kenya will boost the response effort by training frontline health workers at national and county levels and strengthen the current work being done by the COVID-19 rapid response and clinical teams across all counties.","Hasa, WHO Kenya itaongeza juhudi za kukabiliana na janga hili kwa kuwafunza wafanyakazi wa afya walio mstari wa mbele katika ngazi za kitaifa na kaunti na kuimarisha kazi inayofanywa sasa na timu za mwitikio wa haraka wa COVID-19 na kliniki katika kaunti zote.",,Keep
PSA000004,Health,Caring for patients with high-consequence infectious diseases requires highly skilled teams operating in full personal protective equipment under strict infection prevention protocols.,Kuwatunza wagonjwa wenye magonjwa ya kuambukiza yenye matokeo makubwa kunahitaji timu zenye ujuzi wa hali ya juu zinazofanya kazi katika vifaa kamili vya kinga binafsi chini ya itifaki kali za kuzuia maambukizi.,,Keep
PSA000005,Health,"These conditions are physically demanding and technically complex, requiring sustained precision in environments where even routine care becomes high risk.","Hali hizi zinahitajika kimwili na kitaalamu ni ngumu, zinahitaji usahihi endelevu katika mazingira ambapo hata utunzaji wa kawaida unakuwa hatari kubwa.",,Keep
PSA000006,Health,"To address this gap, countries are strengthening the systems that underpin clinical care, from building multidisciplinary teams and improving intensive and supportive care practices, to reinforcing infection prevention and WASH standards and ensuring facilities are equipped to operate safely during outbreaks.","Ili kushughulikia pengo hili, nchi zinaimarisha mifumo inayounga mkono huduma ya kliniki, kuanzia kujenga timu za taaluma mbalimbali na kuboresha mbinu za utunzaji makini na unaounga mkono, hadi kuimarisha viwango vya kuzuia maambukizi na WASH na kuhakikisha vifaa vina vifaa vya kufanya kazi kwa usalama wakati wa milipuko.",,Keep
PSA000007,Health,"From 27 April to 1 May 2026, clinicians, infection prevention specialists and experts from across the East African Community convened in Nairobi for a training focused on these priorities.","Kuanzia tarehe 27 Aprili hadi 1 Mei 2026, madaktari, wataalamu wa kuzuia maambukizi na wataalamu kutoka kote katika Jumuiya ya Afrika Mashariki walikutana jijini Nairobi kwa ajili ya mafunzo yaliyolenga vipaumbele hivi.",,Keep
PSA000008,Health,"The programme focused on critical care, patient monitoring, safe use of personal protective equipment, and maintaining high-quality clinical operations under outbreak conditions.","Programu hiyo ililenga katika utunzaji muhimu, ufuatiliaji wa wagonjwa, matumizi salama ya vifaa vya kinga binafsi, na kudumisha shughuli za kliniki zenye ubora wa hali ya juu chini ya hali ya mlipuko.",,Keep
PSA000009,Health,"World Health Organization supported this effort through technical guidance, coordination and the strengthening of regional networks, helping to ensure that clinical capacity continues to grow across countries and is sustained between outbreaks.","Shirika la Afya Duniani liliunga mkono juhudi hii kupitia mwongozo wa kiufundi, uratibu na uimarishaji wa mitandao ya kikanda, na kusaidia kuhakikisha kwamba uwezo wa kliniki unaendelea kukua katika nchi mbalimbali na unaendelea kudumu kati ya milipuko.",,Keep
PSA000010,Health,The next phase is to ensure that every patient benefits from the same standard of high-quality care.,Hatua inayofuata ni kuhakikisha kwamba kila mgonjwa anafaidika na kiwango sawa cha huduma bora.,,Keep
PSA000011,Health,"So far, 256 suspected cases and 13 deaths have been reported, with a case fatality rate of 5.2%, exceeding the 1% threshold which indicates early and adequate treatment of cholera patients.","Hadi sasa, visa 256 vinavyoshukiwa na vifo 13 vimeripotiwa, huku kiwango cha vifo kikiwa 5.2%, kikizidi kiwango cha 1% ambacho kinaonyesha matibabu ya mapema na ya kutosha kwa wagonjwa wa kipindupindu.",,Keep
PSA000012,Health,"Press Statement: Kenyan Government, World Health Organization, Bloomberg Philanthropies launch new initiative to reduce road crash deaths Road traffic crashes are a top-five cause of death for Kenyans between the ages of five and 70, and the leading killer of boys aged 15-19.","Taarifa kwa Vyombo vya Habari: Serikali ya Kenya, Shirika la Afya Duniani, Bloomberg Philanthropies yazindua mpango mpya wa kupunguza vifo vya ajali za barabarani Ajali za barabarani ni miongoni mwa sababu tano kuu za vifo kwa Wakenya wenye umri wa kati ya miaka mitano na 70, na ni miongoni mwa wauaji wakuu wa wavulana wenye umri wa kati ya miaka 15-19.",,Keep
PSA000013,Health,"WHO Kenya works through three strategic clusters; (1) Health Promotion, Disease Prevention and Control, (2) Health Emergencies, and (3) Health Systems and Services, to support the Government of Kenya in building resilient health systems and advancing toward UHC.","WHO Kenya inafanya kazi kupitia makundi matatu ya kimkakati; (1) Kukuza Afya, Kuzuia na Kudhibiti Magonjwa, (2) Dharura za Afya, na (3) Mifumo na Huduma za Afya, ili kuisaidia Serikali ya Kenya katika kujenga mifumo imara ya afya na kusonga mbele kuelekea UHC.",,Keep
PSA000014,Health,"A record 349 million people globally are facing acute food insecurity Meanwhile, tobacco is grown in over 124 countries, taking up 3.2 million hectares of fertile land that could be used to grow food, address food insecurity and nutrition challenges and help feed families.","Watu milioni 349 waliorekodiwa duniani kote wanakabiliwa na uhaba mkubwa wa chakula Wakati huo huo, tumbaku inalimwa katika zaidi ya nchi 124, ikichukua hekta milioni 3.2 za ardhi yenye rutuba ambayo inaweza kutumika kulima chakula, kushughulikia changamoto za uhaba wa chakula na lishe na kusaidia kulisha familia.",,Keep
PSA000015,Health,"Kenya launches 5-year health security plan to strengthen health emergency readiness Nairobi- Kenya has launched its Second National Action Plan for Health Security 2026–2030, marking a significant step toward strengthening the country's ability to prevent, detect, and respond to public health threats.","Kenya yazindua mpango wa usalama wa afya wa miaka 5 ili kuimarisha utayari wa dharura wa afya Nairobi- Kenya imezindua Mpango wake wa Pili wa Kitaifa wa Utekelezaji wa Usalama wa Afya 2026–2030, ikiashiria hatua muhimu kuelekea kuimarisha uwezo wa nchi kuzuia, kugundua, na kukabiliana na vitisho vya afya ya umma.",,Keep
PSA000016,Health,"""Today's event reflects Kenya's continued commitment to building a strong, resilient and coordinated system for preventing, detecting and responding to public health threats,"" said Dr Neema Rusibamayila Kimambo, Acting WHO representative to Kenya.","""Tukio la leo linaonyesha kujitolea kwa Kenya kuendelea kujenga mfumo imara, imara na ulioratibiwa kwa ajili ya kuzuia, kugundua na kukabiliana na vitisho vya afya ya umma,"" alisema Dkt. Neema Rusibamayila Kimambo, Kaimu mwakilishi wa WHO nchini Kenya.",,Keep
PSA000017,Health,"""But if we do not put commensurate resources behind this plan, it just becomes a document on the shelf.","""Lakini tusipoweka rasilimali zinazolingana nyuma ya mpango huu, unakuwa hati tu kwenye rafu.""",,Keep
PSA000018,Health,"Since 1 October 2025, over 231 cases and 13 deaths were reported across three counties, including Narok, one of the hardest hit.","Tangu tarehe 1 Oktoba 2025, zaidi ya visa 231 na vifo 13 viliripotiwa katika kaunti tatu, ikiwa ni pamoja na Narok, mojawapo ya zilizoathiriwa zaidi.",,Keep
PSA000019,Health,"Hosted by WHS and Aga Khan University and held in partnership with WHO, the Ministry of Health in Kenya and the Africa Centres for Disease Control and Prevention, the meeting will bring together over 1000 delegates from around 50 countries, participating in 80 sessions focused on strengthening health systems resilience, advancing universal health coverage and accelerating innovation in global health.","Mkutano huo, ulioandaliwa na WHS na Chuo Kikuu cha Aga Khan na kufanyika kwa ushirikiano na WHO, Wizara ya Afya nchini Kenya na Vituo vya Afrika vya Kudhibiti na Kuzuia Magonjwa, utawaleta pamoja zaidi ya wajumbe 1000 kutoka nchi takriban 50, wakishiriki katika vikao 80 vinavyolenga kuimarisha ustahimilivu wa mifumo ya afya, kuendeleza huduma za afya kwa wote na kuharakisha uvumbuzi katika afya ya kimataifa.",,Keep
PSA000020,Health,"WHO has been actively engaged in the development of 80% of the meeting sessions, helping shape an agenda which focuses on strengthening health systems resilience, advancing universal health coverage and accelerating practical solutions to emerging health challenges.","WHO imekuwa ikishiriki kikamilifu katika uundaji wa 80% ya vikao vya mikutano, ikisaidia kuunda ajenda inayolenga kuimarisha ustahimilivu wa mifumo ya afya, kuendeleza huduma za afya kwa wote na kuharakisha suluhisho za vitendo kwa changamoto zinazoibuka za kiafya.",,Keep
PSA000021,Health,"In 2025 alone, more than 2000 consignments of medical supplies and equipment were shipped from the hub's warehouse to around 20 countries in the region.","Mnamo mwaka wa 2025 pekee, zaidi ya shehena 2000 za vifaa vya matibabu na vifaa vilisafirishwa kutoka ghala la kituo hicho hadi karibu nchi 20 katika eneo hilo.",,Keep
PSA000022,Health,"""The visual impact of what we have seen here is something we should make public, to bring the importance of countries working together, and with WHO, using cutting-edge tools to address pandemic preparedness and response,"" said Ernesto Zedillo, former President of Mexico and member of The Elders.","""Athari inayoonekana ya kile tulichokiona hapa ni jambo ambalo tunapaswa kulifanya hadharani, ili kukumbusha umuhimu wa nchi kufanya kazi pamoja, na WHO, kutumia zana za kisasa kushughulikia utayari na mwitikio wa janga,"" alisema Ernesto Zedillo, Rais wa zamani wa Mexico na mwanachama wa The Elders.",,Keep
PSA000023,Health,"This is a best practice in Africa and a great cause for humanity,"" said Elbegdorj Tsakhia, former Prime Minister and President of Mongolia and member of The Elders.","Huu ni utaratibu bora barani Afrika na ni sababu kubwa ya ubinadamu,"" alisema Elbegdorj Tsakhia, Waziri Mkuu wa zamani na Rais wa Mongolia na mwanachama wa The Elders.",,Keep
PSA000024,Health,"Together for a healthier world WHO's work is founded on the principle that all people, everywhere, should enjoy the highest standard of health.","Pamoja kwa ajili ya ulimwengu wenye afya njema Kazi ya WHO imejengwa juu ya kanuni kwamba watu wote, kila mahali, wanapaswa kufurahia kiwango cha juu cha afya.",,Keep
PSA000025,Health,"Trained in emergency obstetric and newborn care through programmes also supported by WHO, she quickly assessed Leaungokiok's condition and began monitoring the progress of labour.","Akiwa amefunzwa katika huduma ya dharura ya uzazi na watoto wachanga kupitia programu zinazoungwa mkono pia na WHO, alitathmini haraka hali ya Leaungokiok na kuanza kufuatilia maendeleo ya uchungu wa kujifungua.",,Keep
PSA000026,Health,"""I found her already in active labour"" Makena recalls.","""Nilimkuta tayari akiwa katika uchungu wa uzazi"" Makena anakumbuka.",,Keep
PSA000027,Health,"""I stayed with her, monitored her progress closely and supported the delivery."" Makena's presence came at a critical moment.","""Nilikaa naye, nikafuatilia maendeleo yake kwa karibu na kuunga mkono utoaji."" Uwepo wa Makena ulikuja wakati muhimu.",,Keep
PSA000028,Health,"She also supported the mother to initiate breastfeeding within the first hour, an essential step in protecting the newborn's health.","Pia alimsaidia mama kuanza kunyonyesha ndani ya saa ya kwanza, hatua muhimu katika kulinda afya ya mtoto mchanga.",,Keep
